Review,Rating
Excellent phone with amazing camera quality,5
Battery backup is decent but could be better,3
Very smooth performance and clean UI,5
Heating issue while gaming,2
Display quality is superb,5
Not worth the price,2
Charging is very fast and convenient,4
Camera struggles in low light,3
Best phone in this price range,5
Sound quality could be improved,3
Super design and premium feel,5
Performance is laggy sometimes,2
Good battery life and optimization,4
Front camera is excellent,5
Build quality feels cheap,2